name,netid,department,fingerprints,projects,research,citations,h_index,similar,picture,URL,classes
Ramon van Handel,rvan,MAT,"[['Nonlinear Filters', '100%'], ['Filtering', '77%'], ['Filter', '76%'], ['Nonlinear Filtering', '65%'], ['Ergodicity', '63%'], ['Markov Chain', '57%'], ['Hidden Markov Model (HMM)', '50%'], ['Ergodic Theory', '45%']]","[['Unusual Concentration Phenomena in Probability, Analysis, and Geometry', 'https://collaborate.princeton.edu/en/projects/unusual-concentration-phenomena-in-probability-analysis-and-geome'], ['Geometry of Nonhomogeneous Random Matrices, Vectors, and Processes', 'https://collaborate.princeton.edu/en/projects/geometry-of-nonhomogeneous-random-matrices-vectors-and-processes'], ['PECASE: Complex Phenomena in Stochastic Filtering', 'https://collaborate.princeton.edu/en/projects/pecase-complex-phenomena-in-stochastic-filtering'], ['CAREER: Conditional Theory of Large-Scale Stochastic Systems', 'https://collaborate.princeton.edu/en/projects/career-conditional-theory-of-large-scale-stochastic-systems'], ['Ergodic Theory of Decisions Under Partial Information', 'https://collaborate.princeton.edu/en/projects/ergodic-theory-of-decisions-under-partial-information']]","[['Mixed volumes and the bochner method', 'https://collaborate.princeton.edu/en/publications/mixed-volumes-and-the-bochner-method'], ['Chaining, interpolation, and convexity', 'https://collaborate.princeton.edu/en/publications/chaining-interpolation-and-convexity'], ['Chaining, interpolation and convexity II: The contraction principle', 'https://collaborate.princeton.edu/en/publications/chaining-interpolation-and-convexity-ii-the-contraction-principle'], ['The Borell–Ehrhard game', 'https://collaborate.princeton.edu/en/publications/the-borellehrhard-game'], ['The dimension-free structure of nonhomogeneous random matrices', 'https://collaborate.princeton.edu/en/publications/the-dimension-free-structure-of-nonhomogeneous-random-matrices']]",1472,18,"[['Anirudha Majumdar', 'https://collaborate.princeton.edu/en/persons/anirudha-majumdar'], ['Chenyang Xu', 'https://collaborate.princeton.edu/en/persons/chenyang-xu'], ['Charles Louis Fefferman', 'https://collaborate.princeton.edu/en/persons/charles-louis-fefferman'], ['Ryan P. Adams', 'https://collaborate.princeton.edu/en/persons/ryan-p-adams'], ['Paul Seymour', 'https://collaborate.princeton.edu/en/persons/paul-douglas-seymour'], ['John Vincent Pardon', 'https://collaborate.princeton.edu/en/persons/john-vincent-pardon']]",https://collaborate.princeton.edu//files-asset/48148752/van_Handel.jpg,https://collaborate.princeton.edu/en/persons/ramon-van-handel,[]
Gabriel Andres Vecchi,gvecchi,AOS,"[['tropical cyclone', '100%'], ['climate modeling', '59%'], ['sea surface temperature', '58%'], ['hurricane', '45%'], ['forecast', '40%'], ['ocean', '36%'], ['climate', '35%'], ['Southern Oscillation', '31%']]","[['Understanding Tropical and Subtropical Pacific Changes, and Associated Tropical Cyclone and North American Drought Impacts, over the Past Millennium', 'https://collaborate.princeton.edu/en/projects/understanding-tropical-and-subtropical-pacific-changes-and-associ'], ['Weather-type Based Cross-timescale Diagnostics of CMIP6-era Models', 'https://collaborate.princeton.edu/en/projects/weather-type-based-cross-timescale-diagnostics-of-cmip6-era-model'], ['Investigating Tropical Cyclone Impacts on Ocean Salinity Stratification and its Feedback on Tropical Cyclone Intensification', 'https://collaborate.princeton.edu/en/projects/investigating-tropical-cyclone-impacts-on-ocean-salinity-stratifi'], ['Collaborative Research: Understanding and Forecasting North Atlantic and US Landfalling Tropical Cyclone Activity and Associated Rainfall', 'https://collaborate.princeton.edu/en/projects/collaborative-research-understanding-and-forecasting-north-atlant']]","[['Assessing the influence of climate on wintertime SARS-CoV-2 outbreaks', 'https://collaborate.princeton.edu/en/publications/assessing-the-influence-of-climate-on-wintertime-sars-cov-2-outbr'], ['Compensation Between Cloud Feedback and Aerosol-Cloud Interaction in CMIP6 Models', 'https://collaborate.princeton.edu/en/publications/compensation-between-cloud-feedback-and-aerosol-cloud-interaction'], ['Improved simulation of 19th-and 20th-century North Atlantic hurricane frequency after correcting historical sea surface temperatures', 'https://collaborate.princeton.edu/en/publications/improved-simulation-of-19th-and-20th-century-north-atlantic-hurri'], ['Sea surface salinity response to tropical cyclones based on satellite observations', 'https://collaborate.princeton.edu/en/publications/sea-surface-salinity-response-to-tropical-cyclones-based-on-satel'], ['The role of radiative interactions in tropical cyclone development under realistic boundary conditions', 'https://collaborate.princeton.edu/en/publications/the-role-of-radiative-interactions-in-tropical-cyclone-developmen']]",21481,70,"[['Isaac M. Held', 'https://collaborate.princeton.edu/en/persons/isaac-m-held'], ['Syukuro Manabe', 'https://collaborate.princeton.edu/en/persons/syukuro-manabe'], ['Laure Resplandy', 'https://collaborate.princeton.edu/en/persons/laure-resplandy'], ['Venkatachalam Ramaswamy', 'https://collaborate.princeton.edu/en/persons/venkatachalam-ramaswamy'], ['Stephan Andreas Fueglistaler', 'https://collaborate.princeton.edu/en/persons/stephan-andreas-fueglistaler'], ['Michael Oppenheimer', 'https://collaborate.princeton.edu/en/persons/michael-oppenheimer'], ['Curtis A. Deutsch', 'https://collaborate.princeton.edu/en/persons/curtis-a-deutsch'], ['Denise Leonore Mauzerall', 'https://collaborate.princeton.edu/en/persons/denise-leonore-mauzerall'], ['James A. Smith', 'https://collaborate.princeton.edu/en/persons/james-a-smith'], ['Daniel Mikhail Sigman', 'https://collaborate.princeton.edu/en/persons/daniel-mikhail-sigman'], ['Ning Lin', 'https://collaborate.princeton.edu/en/persons/ning-lin']]",https://collaborate.princeton.edu//files-asset/48148764/Vecchi.png?w=160&amp;f=jpg,https://collaborate.princeton.edu/en/persons/gabriel-andres-vecchi,[]
Kristopher Velasco,kv7379,SOC,"[['Donation', '100%'], ['donation', '99%'], ['Lesbian', '66%'], ['Volunteers', '63%'], ['Bisexual', '58%'], ['Subjective Well-being', '55%'], ['International Human Rights', '54%'], ['Social Context', '49%']]",[],"[['Can Government Intervention Increase Volunteers and Donations? Analyzing the Influence of VISTA With a Matched Design', 'https://collaborate.princeton.edu/en/publications/can-government-intervention-increase-volunteers-and-donations-ana'], ['Donations in social context', 'https://collaborate.princeton.edu/en/publications/donations-in-social-context'], ['A growing queer divide: The divergence between transnational advocacy networks and foreign aid in diffusing LGBT policies', 'https://collaborate.princeton.edu/en/publications/a-growing-queer-divide-the-divergence-between-transnational-advoc'], ['Does Use of Emotion Increase Donations and Volunteers for Nonprofits?', 'https://collaborate.princeton.edu/en/publications/does-use-of-emotion-increase-donations-and-volunteers-for-nonprof'], ['Do National Service Programs Improve Subjective Well-Being in Communities?', 'https://collaborate.princeton.edu/en/publications/do-national-service-programs-improve-subjective-well-being-in-com']]",N/a,N/a,"[['Eldar Shafir', 'https://collaborate.princeton.edu/en/persons/eldar-shafir'], ['Brandon Michael Stewart', 'https://collaborate.princeton.edu/en/persons/brandon-michael-stewart'], ['Filiz Garip', 'https://collaborate.princeton.edu/en/persons/filiz-garip'], ['Janet Marion Currie', 'https://collaborate.princeton.edu/en/persons/janet-marion-currie'], ['Sanyu A. Mojola', 'https://collaborate.princeton.edu/en/persons/sanyu-a-mojola'], ['Patricia Fernandez-Kelly', 'https://collaborate.princeton.edu/en/persons/patricia-fernandez-kelly']]",N/a,https://collaborate.princeton.edu/en/persons/kristopher-velasco,[]
Herman Louis Verlinde,verlinde,PHY,"[['strings', '100%'], ['string theory', '66%'], ['gravitation', '50%'], ['gauge theory', '40%'], ['operators', '33%'], ['matrices', '33%'], ['algebra', '26%'], ['horizon', '24%']]",[],"[['Electro-magnetic energy extraction from rotating black holes in AdS', 'https://collaborate.princeton.edu/en/publications/electro-magnetic-energy-extraction-from-rotating-black-holes-in-a'], ['JT gravity at finite cutoff', 'https://collaborate.princeton.edu/en/publications/jt-gravity-at-finite-cutoff'], ['TT¯ deformed CFT as a non-critical string', 'https://collaborate.princeton.edu/en/publications/tt-deformed-cft-as-a-non-critical-string'], ['An exact quantization of Jackiw-Teitelboim gravity', 'https://collaborate.princeton.edu/en/publications/an-exact-quantization-of-jackiw-teitelboim-gravity'], ['Entanglement dynamics in 2D CFT with boundary: entropic origin of JT gravity and Schwarzian QM', 'https://collaborate.princeton.edu/en/publications/entanglement-dynamics-in-2d-cft-with-boundary-entropic-origin-of-']]",7431,39,"[['Silviu Stefan Pufu', 'https://collaborate.princeton.edu/en/persons/silviu-stefan-pufu'], ['Igor R. Klebanov', 'https://collaborate.princeton.edu/en/persons/igor-r-klebanov'], ['Curtis Gove Callan', 'https://collaborate.princeton.edu/en/persons/curtis-gove-callan'], ['Simone Giombi', 'https://collaborate.princeton.edu/en/persons/simone-giombi'], ['Alexander M. Polyakov', 'https://collaborate.princeton.edu/en/persons/alexander-m-polyakov'], ['Bogdan Andrei Bernevig', 'https://collaborate.princeton.edu/en/persons/bogdan-andrei-bernevig'], ['Shinsei Ryu', 'https://collaborate.princeton.edu/en/persons/shinsei-ryu'], ['David Boozer', 'https://collaborate.princeton.edu/en/persons/david-boozer'], ['Michael Aizenman', 'https://collaborate.princeton.edu/en/persons/michael-aizenman'], ['Shivaji L. Sondhi', 'https://collaborate.princeton.edu/en/persons/shivaji-l-sondhi'], ['Frederick D. Haldane', 'https://collaborate.princeton.edu/en/persons/frederick-d-haldane'], ['Herschel Albert Rabitz', 'https://collaborate.princeton.edu/en/persons/herschel-albert-rabitz']]",https://collaborate.princeton.edu//files-asset/48148776/Verlinde.jpg,https://collaborate.princeton.edu/en/persons/herman-louis-verlinde,[]
Naveen Verma,nverma,ECE,"[['Electronic equipment', '100%'], ['Thin film transistors', '74%'], ['Sensors', '63%'], ['Thin films', '61%'], ['Networks (circuits)', '53%'], ['Static random access storage', '50%'], ['Particle accelerators', '43%'], ['Amorphous silicon', '39%']]","[['(YIP) From Sensor Data to High-Value Information: Ultra-Low-Energy Platforms for Deriving Inferences from Complex Embedded Signals', 'https://collaborate.princeton.edu/en/projects/yip-from-sensor-data-to-high-value-information-ultra-low-energy-p'], ['Combining Large-area Electronics with High-performance Computation for Scalable Ambient Intelligence', 'https://collaborate.princeton.edu/en/projects/combining-large-area-electronics-with-high-performance-computatio'], ['SHF: Small: Analytical Modeling and Design Methodology for Large-scale Computational Systems Employing Flexible Electronics for Extensive Physical Interfacing', 'https://collaborate.princeton.edu/en/projects/shf-small-analytical-modeling-and-design-methodology-for-large-sc']]","[['Convolutional Autoencoder-Based Transfer Learning for Multi-Task Image Inferences', 'https://collaborate.princeton.edu/en/publications/convolutional-autoencoder-based-transfer-learning-for-multi-task-'], ['Detecting, localizing, and quantifying damage using two-dimensional sensing sheet: lab test and field application', 'https://collaborate.princeton.edu/en/publications/detecting-localizing-and-quantifying-damage-using-two-dimensional'], ['Neural Network Training with Stochastic Hardware Models and Software Abstractions', 'https://collaborate.princeton.edu/en/publications/neural-network-training-with-stochastic-hardware-models-and-softw']]",4728,29,"[['James Christopher Sturm', 'https://collaborate.princeton.edu/en/persons/james-christopher-sturm'], ['Branko Glisic', 'https://collaborate.princeton.edu/en/persons/branko-glisic'], ['Niraj Kumar Jha', 'https://collaborate.princeton.edu/en/persons/niraj-kumar-jha'], ['Sun-Yuan Kung', 'https://collaborate.princeton.edu/en/persons/sun-yuan-kung'], ['Robert E. Schapire', 'https://collaborate.princeton.edu/en/persons/robert-e-schapire'], ['Peter Jeffrey Ramadge', 'https://collaborate.princeton.edu/en/persons/peter-jeffrey-ramadge']]",https://collaborate.princeton.edu//files-asset/48148788/Verma.jpg,https://collaborate.princeton.edu/en/persons/naveen-verma,[]
Janet Amelia Vertesi,jvertesi,SOC,"[['Human computer interaction', '100%'], ['Data privacy', '33%'], ['Visibility', '32%'], ['Robots', '31%'], ['Ubiquitous computing', '29%'], ['interaction', '29%'], ['Interaction', '26%'], ['London Underground', '25%']]","[['RAPID: The Long-Term Effects of Covid-19: Decisions, Discovery, and Impact in the Space Sciences', 'https://collaborate.princeton.edu/en/projects/rapid-the-long-term-effects-of-covid-19-decisions-discovery-and-i'], ['Pricing the Priceless Spacecraft: The Social Life of Money in Robotic Planetary Exploration', 'https://collaborate.princeton.edu/en/projects/pricing-the-priceless-spacecraft-the-social-life-of-money-in-robo'], ['EAGER:  The Europa Mission:  Cyber-Human Systems in Formation', 'https://collaborate.princeton.edu/en/projects/eager-the-europa-mission-cyber-human-systems-in-formation'], ['SoCS:  Socio-Computational Approaches to Planetary Exploration', 'https://collaborate.princeton.edu/en/projects/socs-socio-computational-approaches-to-planetary-exploration']]","[['Pre-automation: Insourcing and automating the gig economy', 'https://collaborate.princeton.edu/en/publications/pre-automation-insourcing-and-automating-the-gig-economy'], ['Testing planets: Institutions tested in an era of uncertainty', 'https://collaborate.princeton.edu/en/publications/testing-planets-institutions-tested-in-an-era-of-uncertainty']]",1138,12,"[['Matt Weinberg', 'https://collaborate.princeton.edu/en/persons/matt-weinberg'], ['Joy S. Marcus', 'https://collaborate.princeton.edu/en/persons/joy-s-marcus'], ['Andrew Wilson Appel', 'https://collaborate.princeton.edu/en/persons/andrew-wilson-appel'], ['Sanyu A. Mojola', 'https://collaborate.princeton.edu/en/persons/sanyu-a-mojola'], ['Shahram Hejazi', 'https://collaborate.princeton.edu/en/persons/shahram-hejazi'], ['Margaret Rose Martonosi', 'https://collaborate.princeton.edu/en/persons/margaret-rose-martonosi']]",https://collaborate.princeton.edu//files-asset/48148800/Vertesi.jpg,https://collaborate.princeton.edu/en/persons/janet-amelia-vertesi,[]
Giovanni L. Violante,violante,ECO,"[['Wage Inequality', '100%'], ['Labour Market', '66%'], ['Wages', '66%'], ['United States of America', '56%'], ['Unemployment', '53%'], ['Household', '52%'], ['Progressivity', '46%'], ['Macroeconomics', '44%']]",[],"[['A Further Look at the Propagation of Monetary Policy Shocks in HANK', 'https://collaborate.princeton.edu/en/publications/a-further-look-at-the-propagation-of-monetary-policy-shocks-in-ha'], ['Household balance sheet channels of monetary policy: A back of the envelope calculation for the euro area', 'https://collaborate.princeton.edu/en/publications/household-balance-sheet-channels-of-monetary-policy-a-back-of-the'], ['How Should Tax Progressivity Respond to Rising Income Inequality?', 'https://collaborate.princeton.edu/en/publications/how-should-tax-progressivity-respond-to-rising-income-inequality'], ['Non-durable consumption and housing net worth in the Great Recession: Evidence from easily accessible data', 'https://collaborate.princeton.edu/en/publications/non-durable-consumption-and-housing-net-worth-in-the-great-recess'], ['Optimal progressivity with age-dependent taxation', 'https://collaborate.princeton.edu/en/publications/optimal-progressivity-with-age-dependent-taxation']]",2782,25,"[['Benjamin Moll', 'https://collaborate.princeton.edu/en/persons/benjamin-moll'], ['Pablo D. Fajgelbaum', 'https://collaborate.princeton.edu/en/persons/pablo-d-fajgelbaum'], ['Caio Ibsen Rodrigues de Almeida', 'https://collaborate.princeton.edu/en/persons/caio-ibsen-rodrigues-de-almeida'], ['Nicholas Wyeth Buchholz', 'https://collaborate.princeton.edu/en/persons/nicholas-wyeth-buchholz'], ['Arlene Wong', 'https://collaborate.princeton.edu/en/persons/arlene-wong'], ['Christopher A. Neilson', 'https://collaborate.princeton.edu/en/persons/christopher-a-neilson']]",https://collaborate.princeton.edu//files-asset/48148812/Violante.png?w=160&amp;f=jpg,https://collaborate.princeton.edu/en/persons/giovanni-l-violante,[]
Katerina Visnjic,visnjic,PHY,"[['polarimeters', '100%'], ['microwaves', '82%'], ['Polarization', '77%'], ['Microwaves', '58%'], ['cosmology', '56%'], ['polarization', '52%'], ['telescopes', '51%'], ['bolometers', '46%']]",[],"[['Results from the Atacama B-mode Search (ABS) experiment', 'https://collaborate.princeton.edu/en/publications/results-from-the-atacama-b-mode-search-abs-experiment'], ['Erratum to: In Situ Time Constant and Optical Efficiency Measurements of TRUCE Pixels in the Atacama B-Mode Search(J Low Temp Phys, 2014, 176, 712-718, DOI 10.1007/s10909-013-0999-y)', 'https://collaborate.princeton.edu/en/publications/erratum-to-in-situ-time-constant-and-optical-efficiency-measureme'], ['Systematic effects from an ambient-temperature, continuously rotating half-wave plate', 'https://collaborate.princeton.edu/en/publications/systematic-effects-from-an-ambient-temperature-continuously-rotat']]",864,12,"[['Suzanne Therese Staggs', 'https://collaborate.princeton.edu/en/persons/suzanne-therese-staggs'], ['William Claude Jones', 'https://collaborate.princeton.edu/en/persons/william-claude-jones'], ['Kasey Wagoner', 'https://collaborate.princeton.edu/en/persons/kasey-wagoner'], ['Peter Daniel Meyers', 'https://collaborate.princeton.edu/en/persons/peter-daniel-meyers'], ['Lyman Alexander Page', 'https://collaborate.princeton.edu/en/persons/lyman-alexander-page'], ['Jo Dunkley', 'https://collaborate.princeton.edu/en/persons/jo-dunkley']]",https://collaborate.princeton.edu//files-asset/64156301/Visnjic.jpg,https://collaborate.princeton.edu/en/persons/katerina-visnjic,[]
Bridgett Marie vonHoldt,vonholdt,MOL,"[['wolves', '100%'], ['Dogs', '94%'], ['Canis lupus', '80%'], ['Domestication', '71%'], ['Coyotes', '64%'], ['Genome', '62%'], ['dogs', '61%'], ['Population', '45%']]","[['REU Site: Computational Biology Research, Gateway to STEM', 'https://collaborate.princeton.edu/en/projects/reu-site-computational-biology-research-gateway-to-stem'], ['Collaborative Research: Physiological and Regulatory Mechanisms of the Attenuation of Maladaptive Plasticity in Highland Deer Mice', 'https://collaborate.princeton.edu/en/projects/collaborative-research-physiological-and-regulatory-mechanisms-of']]","[['A genome-wide perspective on the persistence of red Wolf ancestry in southeastern canids', 'https://collaborate.princeton.edu/en/publications/a-genome-wide-perspective-on-the-persistence-of-red-wolf-ancestry'], ['Pleistocene climate fluctuations drove demographic history of African golden wolves (Canis lupaster)', 'https://collaborate.princeton.edu/en/publications/pleistocene-climate-fluctuations-drove-demographic-history-of-afr'], ['Sarcoptic mange severity is associated with reduced genomic variation and evidence of selection in Yellowstone National Park wolves (Canis lupus)', 'https://collaborate.princeton.edu/en/publications/sarcoptic-mange-severity-is-associated-with-reduced-genomic-varia'], ['Wolf Delisting Challenges Demonstrate Need for an Improved Framework for Conserving Intraspecific Variation under the Endangered Species Act.', 'https://collaborate.princeton.edu/en/publications/wolf-delisting-challenges-demonstrate-need-for-an-improved-framew']]",9897,27,"[['Andy P. Dobson', 'https://collaborate.princeton.edu/en/persons/andy-p-dobson'], ['David S. Wilcove', 'https://collaborate.princeton.edu/en/persons/david-s-wilcove'], ['Jared E. Toettcher', 'https://collaborate.princeton.edu/en/persons/jared-e-toettcher'], ['Corina E. Tarnita', 'https://collaborate.princeton.edu/en/persons/corina-e-tarnita'], ['Jodi Schottenfeld-Roames', 'https://collaborate.princeton.edu/en/persons/jodi-schottenfeld-roames'], ['Bryan T. Grenfell', 'https://collaborate.princeton.edu/en/persons/bryan-t-grenfell']]",https://collaborate.princeton.edu//files-asset/48148824/vonHoldt.jpg,https://collaborate.princeton.edu/en/persons/bridgett-marie-vonholdt,"['EEB 331', 'EEB 309', 'EEB 521']"
James Raymond Vreeland,jrv,POL,"[['IMF', '100%'], ['International Monetary Fund', '43%'], ['United Nations', '36%'], ['transparency', '33%'], ['Democracy', '27%'], ['World Bank', '25%'], ['Dictatorship', '24%'], ['IMF Programs', '24%']]",[],"[['Corrupting international organizations', 'https://collaborate.princeton.edu/en/publications/corrupting-international-organizations'], ['The Millennium Development Goals and Education: Accountability and Substitution in Global Assessment', 'https://collaborate.princeton.edu/en/publications/the-millennium-development-goals-and-education-accountability-and'], ['Transparency, Protest and Democratic Stability', 'https://collaborate.princeton.edu/en/publications/transparency-protest-and-democratic-stability'], ['Why Do Autocrats Disclose? Economic Transparency and Inter-elite Politics in the Shadow of Mass Unrest', 'https://collaborate.princeton.edu/en/publications/why-do-autocrats-disclose-economic-transparency-and-inter-elite-p'], ['Aid as a building bloc: Australia and the Bretton Woods Institutions', 'https://collaborate.princeton.edu/en/publications/aid-as-a-building-bloc-australia-and-the-bretton-woods-institutio']]",3657,21,"[['Bryan T. Grenfell', 'https://collaborate.princeton.edu/en/persons/bryan-t-grenfell'], ['Christopher A. Neilson', 'https://collaborate.princeton.edu/en/persons/christopher-a-neilson'], ['Deborah Anne Prentice', 'https://collaborate.princeton.edu/en/persons/deborah-anne-prentice'], ['Emily Pronin', 'https://collaborate.princeton.edu/en/persons/emily-pronin'], ['Paul Elliot Starr', 'https://collaborate.princeton.edu/en/persons/paul-elliot-starr'], ['Denise Leonore Mauzerall', 'https://collaborate.princeton.edu/en/persons/denise-leonore-mauzerall']]",N/a,https://collaborate.princeton.edu/en/persons/james-raymond-vreeland,[]
Kasey Wagoner,kwagoner,PHY,"[['seismographs', '100%'], ['telescopes', '92%'], ['cosmology', '84%'], ['microwaves', '72%'], ['Bolometers', '72%'], ['bolometers', '61%'], ['observatories', '59%'], ['physics', '52%']]",[],"[['The Simons Observatory: Magnetic Sensitivity Measurements of Microwave SQUID Multiplexers', 'https://collaborate.princeton.edu/en/publications/the-simons-observatory-magnetic-sensitivity-measurements-of-micro'], ['The atacama cosmology telescope: A measurement of the cosmic microwave background power spectra at 98 and 150 GHz', 'https://collaborate.princeton.edu/en/publications/the-atacama-cosmology-telescope-a-measurement-of-the-cosmic-micro-2'], ['The Atacama Cosmology Telescope: DR4 maps and cosmological parameters', 'https://collaborate.princeton.edu/en/publications/the-atacama-cosmology-telescope-dr4-maps-and-cosmological-paramet'], [""G<sup>εε</sup> lab's equivalence principle experiment"", 'https://collaborate.princeton.edu/en/publications/gsup%CE%B5%CE%B5sup-labs-equivalence-principle-experiment'], ['Speaking of E&amp;M', 'https://collaborate.princeton.edu/en/publications/speaking-of-eampm']]",301,6,"[['Suzanne Therese Staggs', 'https://collaborate.princeton.edu/en/persons/suzanne-therese-staggs'], ['Jo Dunkley', 'https://collaborate.princeton.edu/en/persons/jo-dunkley'], ['Lyman Alexander Page', 'https://collaborate.princeton.edu/en/persons/lyman-alexander-page'], ['Curtis Gove Callan', 'https://collaborate.princeton.edu/en/persons/curtis-gove-callan'], ['Lawrence W. Cheuk', 'https://collaborate.princeton.edu/en/persons/lawrence-w-cheuk'], ['Frederick D. Haldane', 'https://collaborate.princeton.edu/en/persons/frederick-d-haldane']]",https://collaborate.princeton.edu//files-asset/64156311/Wagoner.jpg,https://collaborate.princeton.edu/en/persons/kasey-wagoner,[]
David P. Walker,dpw,COS,"[['Semantics', '100%'], ['Computer programming languages', '97%'], ['Switches', '73%'], ['Software defined networking', '47%'], ['Data description', '43%'], ['Aspect oriented programming', '42%'], ['Functional programming', '37%'], ['Computer hardware', '36%']]","[['NeTS: Medium: Collaborative Research: Network Configuration Synthesis: A Path to Practical Deployment', 'https://collaborate.princeton.edu/en/projects/nets-medium-collaborative-research-network-configuration-synthesi'], ['Synthesizing Data Wranglers', 'https://collaborate.princeton.edu/en/projects/synthesizing-data-wranglers'], ['TC: Large: Collaborative Research: High-Level Language Support for Trustworthy Networks', 'https://collaborate.princeton.edu/en/projects/tc-large-collaborative-research-high-level-language-support-for-t'], ['SHF:Small:Language Support for Ad Hoc Data Processing', 'https://collaborate.princeton.edu/en/projects/shfsmalllanguage-support-for-ad-hoc-data-processing']]","[['Abstract Interpretation of distributed network control planes', 'https://collaborate.princeton.edu/en/publications/abstract-interpretation-of-distributed-network-control-planes']]",6545,38,"[['Andrew Wilson Appel', 'https://collaborate.princeton.edu/en/persons/andrew-wilson-appel'], ['David I. August', 'https://collaborate.princeton.edu/en/persons/david-i-august'], ['Michael Joseph Freedman', 'https://collaborate.princeton.edu/en/persons/michael-joseph-freedman'], ['Jennifer L. Rexford', 'https://collaborate.princeton.edu/en/persons/jennifer-l-rexford'], ['Aarti Gupta', 'https://collaborate.princeton.edu/en/persons/aarti-gupta'], ['David Wentzlaff', 'https://collaborate.princeton.edu/en/persons/david-wentzlaff']]",https://collaborate.princeton.edu//files-asset/48148848/Walker.jpg,https://collaborate.princeton.edu/en/persons/david-p-walker,[]
Chia-Ying Wang,chiawang,CHM,"[['Polystyrenes', '100%'], ['Tetracene', '87%'], ['Glass transition', '70%'], ['Block copolymers', '68%'], ['Photoresists', '68%'], ['Superconducting transition temperature', '67%'], ['Photobleaching', '62%'], ['translational motion', '61%']]",[],"[['Simple syntheses of CdSe quantum dots', 'https://collaborate.princeton.edu/en/publications/simple-syntheses-of-cdse-quantum-dots'], ['Water immersion of model photoresists: Interfacial influences on water concentration and surface morphology', 'https://collaborate.princeton.edu/en/publications/water-immersion-of-model-photoresists-interfacial-influences-on-w'], ['Interfacial effects on moisture absorption in thin polymer films', 'https://collaborate.princeton.edu/en/publications/interfacial-effects-on-moisture-absorption-in-thin-polymer-films'], ['Resolution limitations in chemically amplified photoresist systems', 'https://collaborate.princeton.edu/en/publications/resolution-limitations-in-chemically-amplified-photoresist-system'], ['A direct comparison of surface and bulk chain-relaxation in polystyrene', 'https://collaborate.princeton.edu/en/publications/a-direct-comparison-of-surface-and-bulk-chain-relaxation-in-polys']]",682,12,"[['Richard Alan Register', 'https://collaborate.princeton.edu/en/persons/richard-alan-register'], ['Tom Muir', 'https://collaborate.princeton.edu/en/persons/tom-muir'], ['Paul Joseph Reider', 'https://collaborate.princeton.edu/en/persons/paul-joseph-reider'], ['Sonja Angelique Francis', 'https://collaborate.princeton.edu/en/persons/sonja-angelique-francis'], ['Mohammad R. Seyedsayamdost', 'https://collaborate.princeton.edu/en/persons/mohammad-r-seyedsayamdost'], ['Robert Randolph Knowles', 'https://collaborate.princeton.edu/en/persons/robert-randolph-knowles']]",N/a,https://collaborate.princeton.edu/en/persons/chia-ying-wang,[]
